Time_index,Hourly_USD_per_MWh
5356,23.91
5357,26.37
5358,29.21
5359,35.19
5360,37.53
5361,40.36
5362,43.64
5363,45.83
5364,48.88
5365,51.11
5366,58.47
5367,67.69
5368,70.84
5369,59.64
5370,49.62
5371,46.64
5372,45.67
5373,44.15
5374,39.56
5375,34.87
5376,33.08
5377,28.28
5378,25.95
5379,24.36
5380,24.8
5381,27.19
5382,31.9
5383,37.1
5384,37.95
5385,41.66
5386,44.81
5387,48.75
5388,53.17
5389,58.71
5390,63.73
5391,67.95
5392,71
5393,60.47
5394,50.07
5395,46.21
5396,47.48
5397,44.06
5398,38.96
5399,35.03
5400,31.43
5401,27.27
5402,24.46
5403,22.69
5404,22.95
5405,25.5
5406,28.85
5407,30.81
5408,33.22
5409,37.92
5410,40.16
5411,41.65
5412,43.74
5413,45.94
5414,47.18
5415,49.38
5416,51.14
5417,48.08
5418,44.39
5419,42.4
5420,42.65
5421,40.96
5422,37.62
5423,32.05
5424,25.54
5425,23.01
5426,20.89
5427,19.48
5428,19.92
5429,22.75
5430,25.66
5431,28.24
5432,31.02
5433,34.61
5434,37.09
5435,38.2
5436,39.97
5437,41.8
5438,43.98
5439,45.01
5440,47.63
5441,46.09
5442,41
5443,39.75
5444,40.49
5445,39.78
5446,33.96
5447,28.49
5448,24.42
5449,21.86
5450,20.59
5451,18.17
5452,18.71
5453,21.42
5454,24.92
5455,28.41
5456,31.24
5457,34.9
5458,37.81
5459,39.7
5460,40.79
5461,42.99
5462,44.64
5463,45.94
5464,47.76
5465,45.8
5466,41.01
5467,39.74
5468,40.47
5469,39.74
5470,34.99
5471,28.75
5472,27.01
5473,23.84
5474,21.28
5475,18.9
5476,18.36
5477,19.14
5478,20.12
5479,20.95
5480,26.76
5481,30
5482,36.39
5483,37.63
5484,39.18
5485,40.1
5486,40.76
5487,42.71
5488,46
5489,45.7
5490,40.36
5491,38.82
5492,39.19
5493,39.11
5494,36.75
5495,28.48
5496,29.56
5497,26.09
5498,23.31
5499,21.8
5500,20.37
5501,20.11
5502,19.92
5503,20.08
5504,23.04
5505,28.52
5506,32.06
5507,36.92
5508,38.08
5509,39.02
5510,39.38
5511,40.35
5512,42.59
5513,42.03
5514,40.49
5515,39.25
5516,41.96
5517,39.14
5518,36.89
5519,29.23
5520,32.91
5521,26.44
5522,24.67
5523,23.41
5524,24.11
5525,26.59
5526,30
5527,34.09
5528,36.61
5529,38.87
5530,43.08
5531,45.01
5532,46.71
5533,48.58
5534,52.84
5535,57.06
5536,69.81
5537,69.83
5538,51.86
5539,48.32
5540,50.56
5541,46.58
5542,40.83
5543,34.21
5544,34.34
5545,27.65
5546,25.3
5547,24
5548,24.3
5549,27.56
5550,30.52
5551,36.43
5552,38.76
5553,40.68
5554,46.53
5555,50.79
5556,54.29
5557,63.75
5558,74.47
5559,78.55
5560,108.42
5561,88.41
5562,71.83
5563,56.47
5564,55.02
5565,48.13
5566,41.65
5567,38.08
5568,37.99
5569,28.68
5570,25.51
5571,24.16
5572,24.44
5573,28.28
5574,31.88
5575,38.14
5576,40.67
5577,43.65
5578,49.23
5579,68.38
5580,80.3
5581,119.89
5582,126.91
5583,139.82
5584,142.16
5585,122.49
5586,74.61
5587,58.68
5588,58.57
5589,49.28
5590,44.02
5591,41.04
5592,35.78
5593,30.79
5594,24.62
5595,24.28
5596,24.5
5597,27.05
5598,33.08
5599,36.72
5600,41.04
5601,44.53
5602,47.53
5603,52.92
5604,64.35
5605,75.65
5606,90.64
5607,98.58
5608,103.69
5609,85.36
5610,58.88
5611,52.33
5612,54.92
5613,47.48
5614,43.15
5615,39.12
5616,34.48
5617,29.62
5618,24.83
5619,23.46
5620,23.58
5621,26.15
5622,31.1
5623,33.62
5624,37.56
5625,41.46
5626,44.71
5627,47.85
5628,51.02
5629,61
5630,67.1
5631,71.58
5632,72.06
5633,59.6
5634,50.69
5635,46.91
5636,47.37
5637,43.36
5638,41.01
5639,34.58
5640,32.58
5641,28.12
5642,25.27
5643,22.65
